dataset	rel	depth_min	depth_max	depth_mean	valid_ratio
DDAD	DDAD/val/000297/CAMERA_05/depth.png	3.915005	157.106445	30.869984	0.0220
DDAD	DDAD/val/000301/CAMERA_05/depth.png	3.764262	152.775284	23.755457	0.0215
DDAD	DDAD/val/000305/CAMERA_06/depth.png	4.402016	123.882248	24.617483	0.0237
DDAD	DDAD/val/000306/CAMERA_01/depth.png	5.272902	224.129456	37.037041	0.0093
DDAD	DDAD/val/000309/CAMERA_05/depth.png	3.822151	189.643799	24.081951	0.0209
DDAD	DDAD/val/000311/CAMERA_01/depth.png	5.253294	235.174789	34.828899	0.0097
DDAD	DDAD/val/000311/CAMERA_05/depth.png	3.839190	172.239624	23.109112	0.0211
DDAD	DDAD/val/000313/CAMERA_06/depth.png	4.062235	107.045616	20.536297	0.0239
DDAD	DDAD/val/000318/CAMERA_06/depth.png	4.344923	93.904396	16.983271	0.0244
DDAD	DDAD/val/000318/CAMERA_09/depth.png	6.194288	199.329178	34.700741	0.0198
DDAD	DDAD/val/000321/CAMERA_06/depth.png	4.342285	92.810486	16.362986	0.0250
DDAD	DDAD/val/000322/CAMERA_09/depth.png	6.446534	217.755646	36.257076	0.0187
DDAD	DDAD/val/000326/CAMERA_06/depth.png	4.076155	89.377243	16.225082	0.0262
DDAD	DDAD/val/000332/CAMERA_06/depth.png	3.821454	80.072716	15.404627	0.0263
DDAD	DDAD/val/000335/CAMERA_09/depth.png	6.074615	224.712402	32.509579	0.0184
DDAD	DDAD/val/000338/CAMERA_06/depth.png	3.858163	77.862167	14.606538	0.0253
DDAD	DDAD/val/000339/CAMERA_01/depth.png	5.127899	234.009308	35.243343	0.0097
DDAD	DDAD/val/000344/CAMERA_05/depth.png	3.836108	157.269821	18.485109	0.0235
DDAD	DDAD/val/000348/CAMERA_05/depth.png	3.825734	164.896561	18.733480	0.0241
DDAD	DDAD/val/000356/CAMERA_05/depth.png	3.828547	41.445087	8.890567	0.0287
DDAD	DDAD/val/000366/CAMERA_06/depth.png	3.020937	80.322357	6.772097	0.0235
DDAD	DDAD/val/000379/CAMERA_06/depth.png	3.020870	145.391449	9.012696	0.0214
DDAD	DDAD/val/000389/CAMERA_09/depth.png	5.335135	209.819885	20.217466	0.0152
DDAD	DDAD/val/000393/CAMERA_05/depth.png	1.959672	37.346512	8.792826	0.0254
DDAD	DDAD/val/000397/CAMERA_09/depth.png	5.460422	218.888351	20.857344	0.0129
DDAD	DDAD/val/000398/CAMERA_09/depth.png	5.480299	220.233078	20.619534	0.0136
DDAD	DDAD/val/000401/CAMERA_05/depth.png	3.624244	41.734993	8.202975	0.0261
DDAD	DDAD/val/000402/CAMERA_09/depth.png	5.545627	224.466721	20.304420	0.0162
DDAD	DDAD/val/000407/CAMERA_05/depth.png	3.635399	36.497620	7.853209	0.0264
DDAD	DDAD/val/000408/CAMERA_06/depth.png	3.251771	129.590836	15.115536	0.0207
DDAD	DDAD/val/000417/CAMERA_06/depth.png	3.302655	125.420944	22.759390	0.0223
DDAD	DDAD/val/000421/CAMERA_05/depth.png	3.824844	48.447704	7.835998	0.0262
DDAD	DDAD/val/000422/CAMERA_09/depth.png	5.264568	219.682556	22.158714	0.0140
DDAD	DDAD/val/000425/CAMERA_06/depth.png	4.246259	118.646088	22.989491	0.0212
DDAD	DDAD/val/000432/CAMERA_05/depth.png	3.700347	31.679754	8.363074	0.0248
DDAD	DDAD/val/000434/CAMERA_05/depth.png	3.937240	39.614510	8.383052	0.0246
DDAD	DDAD/val/000438/CAMERA_05/depth.png	3.804380	22.613169	8.137004	0.0238
DDAD	DDAD/val/000439/CAMERA_06/depth.png	3.103056	103.742264	22.856699	0.0204
DDAD	DDAD/val/000442/CAMERA_05/depth.png	3.748137	27.139503	7.688785	0.0245
DDAD	DDAD/val/000450/CAMERA_06/depth.png	4.143474	60.094398	14.532650	0.0253
DDAD	DDAD/val/000452/CAMERA_06/depth.png	4.081420	119.053993	14.483109	0.0251
DDAD	DDAD/val/000454/CAMERA_01/depth.png	4.631805	206.419830	22.698458	0.0103
DDAD	DDAD/val/000458/CAMERA_01/depth.png	4.135686	226.089493	24.454332	0.0103
DDAD	DDAD/val/000460/CAMERA_06/depth.png	4.117816	127.976845	13.383862	0.0256
DDAD	DDAD/val/000463/CAMERA_09/depth.png	2.283307	219.561111	20.972124	0.0147
DDAD	DDAD/val/000464/CAMERA_05/depth.png	1.529875	64.372116	3.780118	0.0200
DDAD	DDAD/val/000468/CAMERA_06/depth.png	3.951898	124.611443	14.131710	0.0254
DDAD	DDAD/val/000470/CAMERA_05/depth.png	1.646003	121.471703	4.577064	0.0218
DDAD	DDAD/val/000475/CAMERA_05/depth.png	1.647680	57.109993	4.179645	0.0213
DDAD	DDAD/val/000478/CAMERA_01/depth.png	4.339575	221.356186	23.411785	0.0107
DDAD	DDAD/val/000480/CAMERA_05/depth.png	1.693625	68.139534	3.620083	0.0220
DDAD	DDAD/val/000489/CAMERA_06/depth.png	4.096184	112.070984	14.673755	0.0255
DDAD	DDAD/val/000491/CAMERA_05/depth.png	1.393965	161.647263	16.505144	0.0200
DDAD	DDAD/val/000494/CAMERA_05/depth.png	2.186291	179.178741	17.096558	0.0194
DDAD	DDAD/val/000495/CAMERA_06/depth.png	4.132603	147.803619	14.997049	0.0252
DDAD	DDAD/val/000500/CAMERA_05/depth.png	1.427576	216.360458	13.709634	0.0203
DDAD	DDAD/val/000504/CAMERA_05/depth.png	1.782597	188.126114	8.351370	0.0145
DDAD	DDAD/val/000505/CAMERA_05/depth.png	1.370786	181.930206	7.623626	0.0136
DDAD	DDAD/val/000508/CAMERA_05/depth.png	1.666375	138.568771	3.631373	0.0211
DDAD	DDAD/val/000510/CAMERA_05/depth.png	1.508804	138.524017	3.479298	0.0200
DDAD	DDAD/val/000512/CAMERA_09/depth.png	2.552495	220.372635	22.553972	0.0136
DDAD	DDAD/val/000513/CAMERA_05/depth.png	1.401212	131.317169	3.449567	0.0192
DDAD	DDAD/val/000514/CAMERA_01/depth.png	3.867157	235.069565	23.849876	0.0103
DDAD	DDAD/val/000524/CAMERA_06/depth.png	3.972347	114.527603	14.180599	0.0232
DDAD	DDAD/val/000531/CAMERA_09/depth.png	2.417307	197.964844	22.696957	0.0107
DDAD	DDAD/val/000539/CAMERA_05/depth.png	1.339383	159.426407	7.312771	0.0137
DDAD	DDAD/val/000541/CAMERA_09/depth.png	2.429777	201.784943	19.863682	0.0130
DDAD	DDAD/val/000543/CAMERA_05/depth.png	1.517479	218.725388	17.823423	0.0196
DDAD	DDAD/val/000546/CAMERA_06/depth.png	4.190886	90.476463	16.481833	0.0254
DDAD	DDAD/val/000547/CAMERA_01/depth.png	4.212852	203.972031	27.236835	0.0100
DDAD	DDAD/val/000548/CAMERA_06/depth.png	4.120192	88.689812	16.931808	0.0245
DDAD	DDAD/val/000553/CAMERA_01/depth.png	5.066391	215.605057	36.297089	0.0099
DDAD	DDAD/val/000559/CAMERA_06/depth.png	3.940922	231.844971	19.754494	0.0201
DDAD	DDAD/val/000564/CAMERA_01/depth.png	5.064530	203.416672	31.050875	0.0102
DDAD	DDAD/val/000566/CAMERA_06/depth.png	3.852722	222.967819	23.882147	0.0199
DDAD	DDAD/val/000568/CAMERA_01/depth.png	5.030688	195.910034	28.934576	0.0104
DDAD	DDAD/val/000579/CAMERA_01/depth.png	5.284572	119.656776	23.174070	0.0105
DDAD	DDAD/val/000580/CAMERA_01/depth.png	5.173205	119.323792	22.735292	0.0106
DDAD	DDAD/val/000586/CAMERA_09/depth.png	6.623834	219.570419	39.597828	0.0195
DDAD	DDAD/val/000588/CAMERA_05/depth.png	3.352468	235.425659	25.023035	0.0179
DDAD	DDAD/val/000593/CAMERA_05/depth.png	3.822697	232.703033	26.086103	0.0166
DDAD	DDAD/val/000594/CAMERA_09/depth.png	6.743941	145.396118	36.468746	0.0183
DDAD	DDAD/val/000598/CAMERA_01/depth.png	4.919215	200.904495	27.771124	0.0104
DDAD	DDAD/val/000598/CAMERA_06/depth.png	3.726407	149.354996	14.955261	0.0228
DDAD	DDAD/val/000602/CAMERA_01/depth.png	5.086397	169.647797	28.642673	0.0107
DDAD	DDAD/val/000605/CAMERA_06/depth.png	3.402184	180.588364	15.563554	0.0239
DDAD	DDAD/val/000610/CAMERA_09/depth.png	6.041458	206.979050	22.503647	0.0188
DDAD	DDAD/val/000612/CAMERA_09/depth.png	5.719565	208.402328	22.895275	0.0189
DDAD	DDAD/val/000614/CAMERA_06/depth.png	3.376716	120.954620	9.376699	0.0273
DDAD	DDAD/val/000615/CAMERA_06/depth.png	3.396739	74.138565	8.557611	0.0279
DDAD	DDAD/val/000615/CAMERA_09/depth.png	5.856428	211.741714	25.407116	0.0185
DDAD	DDAD/val/000625/CAMERA_05/depth.png	3.892795	203.044891	14.246566	0.0220
DDAD	DDAD/val/000629/CAMERA_09/depth.png	6.031737	225.531418	27.214045	0.0159
DDAD	DDAD/val/000639/CAMERA_06/depth.png	3.356891	55.926510	7.870053	0.0297
DDAD	DDAD/val/000642/CAMERA_01/depth.png	5.050885	221.969650	28.538834	0.0107
DDAD	DDAD/val/000645/CAMERA_05/depth.png	3.911432	225.309265	18.010029	0.0195
DDAD	DDAD/val/000654/CAMERA_01/depth.png	5.024964	225.256821	28.085186	0.0106
DDAD	DDAD/val/000657/CAMERA_05/depth.png	3.886137	219.402771	20.980185	0.0205
DDAD	DDAD/val/000661/CAMERA_05/depth.png	3.981419	208.918915	20.997519	0.0208
DDAD	DDAD/val/000663/CAMERA_01/depth.png	4.874430	232.052063	30.465601	0.0102
DDAD	DDAD/val/000664/CAMERA_06/depth.png	3.457136	44.759487	8.626099	0.0294
DDAD	DDAD/val/000666/CAMERA_05/depth.png	3.847009	200.287567	19.750147	0.0207
DDAD	DDAD/val/000675/CAMERA_01/depth.png	5.008824	228.308472	35.111954	0.0096
DDAD	DDAD/val/000678/CAMERA_09/depth.png	6.136092	180.856720	25.470959	0.0161
DDAD	DDAD/val/000683/CAMERA_01/depth.png	4.979847	228.852142	36.917305	0.0101
DDAD	DDAD/val/000684/CAMERA_09/depth.png	6.538714	169.760452	26.021872	0.0167
DDAD	DDAD/val/000690/CAMERA_05/depth.png	3.853734	213.763016	16.894695	0.0199
DDAD	DDAD/val/000704/CAMERA_06/depth.png	4.218743	75.290596	24.941406	0.0241
DDAD	DDAD/val/000705/CAMERA_09/depth.png	5.344549	192.307480	28.934135	0.0159
DDAD	DDAD/val/000713/CAMERA_06/depth.png	4.264703	84.646301	23.558249	0.0242
DDAD	DDAD/val/000717/CAMERA_01/depth.png	5.149617	230.270355	34.188992	0.0095
DDAD	DDAD/val/000718/CAMERA_01/depth.png	5.145424	230.245438	33.979237	0.0095
DDAD	DDAD/val/000718/CAMERA_05/depth.png	3.878227	221.639557	28.365232	0.0206
DDAD	DDAD/val/000720/CAMERA_06/depth.png	4.207010	81.307816	21.009268	0.0243
DDAD	DDAD/val/000726/CAMERA_05/depth.png	3.818305	220.806030	26.753298	0.0206
DDAD	DDAD/val/000732/CAMERA_06/depth.png	3.142300	77.272713	18.852394	0.0240
DDAD	DDAD/val/000737/CAMERA_06/depth.png	2.375285	75.300064	17.670183	0.0245
DDAD	DDAD/val/000745/CAMERA_09/depth.png	5.252356	215.490845	40.310661	0.0196
DDAD	DDAD/val/000755/CAMERA_09/depth.png	7.172646	228.529755	46.501957	0.0178
DDAD	DDAD/val/000757/CAMERA_05/depth.png	3.823860	220.075974	22.834627	0.0218
DDAD	DDAD/val/000762/CAMERA_06/depth.png	4.123501	164.375610	19.964420	0.0237
DDAD	DDAD/val/000763/CAMERA_09/depth.png	7.088100	204.234482	44.016293	0.0174
DDAD	DDAD/val/000777/CAMERA_06/depth.png	1.573117	165.001923	19.197952	0.0228
DDAD	DDAD/val/000788/CAMERA_06/depth.png	1.634611	113.898132	15.275775	0.0198
DDAD	DDAD/val/000789/CAMERA_09/depth.png	5.962287	218.854416	41.742077	0.0150
DDAD	DDAD/val/000791/CAMERA_05/depth.png	3.830580	226.277954	27.927759	0.0210
DDAD	DDAD/val/000805/CAMERA_05/depth.png	3.853209	219.680984	28.420460	0.0213
DDAD	DDAD/val/000806/CAMERA_05/depth.png	3.845094	220.709808	28.715347	0.0200
DDAD	DDAD/val/000809/CAMERA_06/depth.png	3.691915	174.087448	19.216541	0.0210
DDAD	DDAD/val/000814/CAMERA_01/depth.png	4.906399	223.131073	35.354733	0.0098
DDAD	DDAD/val/000821/CAMERA_09/depth.png	5.047650	231.417465	40.432499	0.0159
DDAD	DDAD/val/000826/CAMERA_09/depth.png	2.928779	231.857132	40.290813	0.0158
DDAD	DDAD/val/000828/CAMERA_05/depth.png	3.855303	191.512512	29.240629	0.0213
DDAD	DDAD/val/000829/CAMERA_05/depth.png	3.861618	193.451218	29.581833	0.0211
DDAD	DDAD/val/000838/CAMERA_05/depth.png	3.922933	189.793762	30.834541	0.0212
DDAD	DDAD/val/000839/CAMERA_06/depth.png	1.807109	234.125305	23.545626	0.0173
DDAD	DDAD/val/000847/CAMERA_01/depth.png	5.037253	233.184677	40.566162	0.0098
DDAD	DDAD/val/000849/CAMERA_05/depth.png	3.899049	184.906937	29.309828	0.0211
DDAD	DDAD/val/000850/CAMERA_05/depth.png	3.834557	235.852051	31.815222	0.0134
DDAD	DDAD/val/000860/CAMERA_09/depth.png	6.859189	173.627808	29.140503	0.0074
DDAD	DDAD/val/000862/CAMERA_09/depth.png	6.848321	174.815277	29.259020	0.0076
DDAD	DDAD/val/000864/CAMERA_01/depth.png	5.105610	215.051224	32.493282	0.0073
DDAD	DDAD/val/000864/CAMERA_09/depth.png	6.833784	175.891739	28.925594	0.0075
DDAD	DDAD/val/000865/CAMERA_05/depth.png	3.804183	235.758698	31.333082	0.0136
DDAD	DDAD/val/000866/CAMERA_05/depth.png	3.803752	235.339355	31.290405	0.0130
DDAD	DDAD/val/000867/CAMERA_06/depth.png	4.187367	182.259613	47.745453	0.0120
DDAD	DDAD/val/000869/CAMERA_09/depth.png	6.828508	179.262711	28.868225	0.0075
DDAD	DDAD/val/000879/CAMERA_05/depth.png	3.809593	235.169052	31.387581	0.0131
DDAD	DDAD/val/000886/CAMERA_05/depth.png	3.821613	235.014389	31.291868	0.0130
DDAD	DDAD/val/000887/CAMERA_05/depth.png	3.826724	234.935501	31.699999	0.0129
DDAD	DDAD/val/000889/CAMERA_05/depth.png	3.814745	234.928268	31.262154	0.0132
DDAD	DDAD/val/000891/CAMERA_09/depth.png	6.788642	193.122238	28.580370	0.0074
DDAD	DDAD/val/000899/CAMERA_06/depth.png	4.172375	187.860245	48.314629	0.0128
DDAD	DDAD/val/000903/CAMERA_05/depth.png	3.806930	231.237762	29.822392	0.0134
DDAD	DDAD/val/000906/CAMERA_05/depth.png	3.817017	233.293274	29.540682	0.0138
DDAD	DDAD/val/000908/CAMERA_09/depth.png	6.780807	204.607285	29.335325	0.0075
DDAD	DDAD/val/000930/CAMERA_05/depth.png	3.863779	225.343536	29.934313	0.0146
DDAD	DDAD/val/000939/CAMERA_05/depth.png	3.859815	227.992645	29.919966	0.0146
DDAD	DDAD/val/000941/CAMERA_06/depth.png	4.174630	170.358124	45.270935	0.0137
DDAD	DDAD/val/000949/CAMERA_05/depth.png	3.789060	227.328094	30.219976	0.0149
DDAD	DDAD/val/000950/CAMERA_06/depth.png	4.015350	211.709793	30.997766	0.0167
DDAD	DDAD/val/000951/CAMERA_05/depth.png	3.598371	92.147034	25.404484	0.0211
DDAD	DDAD/val/000958/CAMERA_01/depth.png	4.543018	233.668060	35.565266	0.0091
DDAD	DDAD/val/000959/CAMERA_05/depth.png	3.255919	89.956528	25.003870	0.0221
DDAD	DDAD/val/000970/CAMERA_09/depth.png	6.187850	234.230835	36.525867	0.0166
DDAD	DDAD/val/000971/CAMERA_01/depth.png	4.693444	223.043610	35.438801	0.0094
DDAD	DDAD/val/000985/CAMERA_06/depth.png	4.047511	224.424210	30.988279	0.0183
DDAD	DDAD/val/000998/CAMERA_01/depth.png	4.725838	231.989777	35.209660	0.0096
DDAD	DDAD/val/000998/CAMERA_06/depth.png	4.074252	226.690948	31.583036	0.0203
DDAD	DDAD/val/000998/CAMERA_09/depth.png	5.794236	231.811905	36.684658	0.0162
DDAD	DDAD/val/001003/CAMERA_09/depth.png	6.704322	230.715897	45.212555	0.0180
DDAD	DDAD/val/001016/CAMERA_01/depth.png	4.993279	191.561630	34.538052	0.0095
DDAD	DDAD/val/001020/CAMERA_09/depth.png	6.788954	235.755600	44.557842	0.0177
DDAD	DDAD/val/001031/CAMERA_09/depth.png	6.734547	236.994995	44.088379	0.0170
DDAD	DDAD/val/001033/CAMERA_05/depth.png	3.808954	203.570648	20.024330	0.0231
DDAD	DDAD/val/001034/CAMERA_01/depth.png	4.976226	208.567352	36.537857	0.0092
DDAD	DDAD/val/001042/CAMERA_06/depth.png	4.074440	210.674088	26.731590	0.0210
DDAD	DDAD/val/001043/CAMERA_01/depth.png	4.971569	198.597076	37.477337	0.0088
DDAD	DDAD/val/001047/CAMERA_06/depth.png	4.114861	215.542130	27.347778	0.0206
DDAD	DDAD/val/001047/CAMERA_09/depth.png	7.052442	226.353134	38.256935	0.0183
DDAD	DDAD/val/001049/CAMERA_01/depth.png	4.974105	224.033142	35.683018	0.0093
DDAD	DDAD/val/001051/CAMERA_05/depth.png	3.805145	204.213730	21.531725	0.0231
DDAD	DDAD/val/001055/CAMERA_09/depth.png	7.016358	236.203384	40.349064	0.0185
DDAD	DDAD/val/001066/CAMERA_05/depth.png	3.845970	192.964478	21.596737	0.0229
DDAD	DDAD/val/001069/CAMERA_06/depth.png	3.976468	223.087601	24.430857	0.0213
DDAD	DDAD/val/001071/CAMERA_05/depth.png	3.860565	173.182175	21.649033	0.0231
DDAD	DDAD/val/001085/CAMERA_05/depth.png	3.295864	230.507278	18.694553	0.0216
DDAD	DDAD/val/001085/CAMERA_06/depth.png	3.946280	228.299149	28.867346	0.0211
DDAD	DDAD/val/001090/CAMERA_06/depth.png	3.934063	229.194931	27.979618	0.0209
DDAD	DDAD/val/001093/CAMERA_05/depth.png	3.839849	227.317444	16.959700	0.0235
DDAD	DDAD/val/001106/CAMERA_09/depth.png	4.734304	236.139450	28.758017	0.0160
DDAD	DDAD/val/001108/CAMERA_06/depth.png	4.256996	200.614487	19.167786	0.0244
DDAD	DDAD/val/001109/CAMERA_09/depth.png	4.792593	234.609955	28.793493	0.0170
DDAD	DDAD/val/001110/CAMERA_01/depth.png	5.098734	206.944046	33.546528	0.0100
DDAD	DDAD/val/001111/CAMERA_09/depth.png	5.043910	235.417953	29.412992	0.0167
DDAD	DDAD/val/001113/CAMERA_05/depth.png	3.887406	213.643875	30.961071	0.0186
DDAD	DDAD/val/001129/CAMERA_09/depth.png	4.991051	235.527374	27.429178	0.0175
DDAD	DDAD/val/001130/CAMERA_06/depth.png	4.241233	181.665451	19.330050	0.0247
DDAD	DDAD/val/001136/CAMERA_01/depth.png	5.075764	221.658066	29.407597	0.0100
DDAD	DDAD/val/001141/CAMERA_09/depth.png	5.505220	225.552765	29.408424	0.0172
DDAD	DDAD/val/001142/CAMERA_06/depth.png	4.184454	129.158356	21.501497	0.0241
DDAD	DDAD/val/001146/CAMERA_06/depth.png	4.169743	118.607231	22.670527	0.0235
DDAD	DDAD/val/001151/CAMERA_05/depth.png	4.107693	167.425308	29.937960	0.0187
DDAD	DDAD/val/001155/CAMERA_05/depth.png	4.123781	160.547150	26.602938	0.0194
DDAD	DDAD/val/001155/CAMERA_06/depth.png	4.134731	111.179123	22.107645	0.0226
DDAD	DDAD/val/001158/CAMERA_06/depth.png	4.097046	101.435387	21.477482	0.0210
DDAD	DDAD/val/001163/CAMERA_01/depth.png	5.216562	183.001205	26.401611	0.0097
DDAD	DDAD/val/001168/CAMERA_09/depth.png	5.798831	223.724304	30.081572	0.0143
DDAD	DDAD/val/001172/CAMERA_05/depth.png	4.307889	80.983795	21.656443	0.0216
DDAD	DDAD/val/001175/CAMERA_06/depth.png	3.515229	143.346466	21.692846	0.0213
DDAD	DDAD/val/001177/CAMERA_06/depth.png	3.563798	146.098831	21.395298	0.0209
DDAD	DDAD/val/001191/CAMERA_01/depth.png	5.240788	223.169281	29.396587	0.0096
DDAD	DDAD/val/001194/CAMERA_05/depth.png	4.201595	212.073639	19.272274	0.0198
